team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_away_or_home,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ground,ground_city,ground_country,match_date
West Indies,Australia,172,173,9,9,away,home,Australia,1.0,wicket,Day and night,Benson & Hedges World Series,Paul Reiffel,Australia,Sydney Cricket Ground,West Indies,bat first,Sydney,Moore Park,Australia,1996-01-01
West Indies,Sri Lanka,194,124,10,10,away,away,West Indies,70.0,runs,Day,Benson & Hedges World Series,Shivnarine Chanderpaul,West Indies,"Bellerive Oval, Hobart",Sri Lanka,field first,Hobart,Bellerive,Australia,1996-01-03
Sri Lanka,West Indies,102,104,10,3,away,away,West Indies,7.0,wickets,Day and night,Benson & Hedges World Series,Curtly Ambrose,West Indies,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sri Lanka,bat first,Brisbane,Woolloongabba,Australia,1996-01-05
West Indies,Australia,231,217,10,10,away,home,West Indies,14.0,runs,Day,Benson & Hedges World Series,Ottis Gibson,West Indies,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia,field first,Brisbane,Woolloongabba,Australia,1996-01-07
Australia,Sri Lanka,213,214,5,7,home,away,Sri Lanka,3.0,wickets,Day and night,Benson & Hedges World Series,Romesh Kaluwitharana,Sri Lanka,Melbourne Cricket Ground,Australia,bat first,Melbourne,Jolimont,Australia,1996-01-09
South Africa,England,211,205,8,10,home,away,South Africa,6.0,runs,Day and night,England tour of South Africa,Shaun Pollock,South Africa,"Newlands, Cape Town",South Africa,bat first,Cape Town,Cape Town,South Africa,1996-01-09
South Africa,England,262,265,8,5,home,away,England,5.0,wickets,Day and night,England tour of South Africa,Mike Atherton,England,"Springbok Park, Bloemfontein",South Africa,bat first,Bloemfontein,Bloemfontein,South Africa,1996-01-11
Australia,Sri Lanka,266,183,6,9,home,away,Australia,83.0,runs,Day and night,Benson & Hedges World Series,Mark Waugh,Australia,"Western Australia Cricket Association Ground, Perth",Australia,bat first,Perth,East Perth,Australia,1996-01-12
England,South Africa,198,199,8,7,away,home,South Africa,3.0,wickets,Day,England tour of South Africa,Shaun Pollock,South Africa,"New Wanderers Stadium, Johannesburg",England,bat first,Johannesburg,Johannesburg,South Africa,1996-01-13
Sri Lanka,West Indies,202,186,10,9,away,away,Sri Lanka,16.0,runs,Day,Benson & Hedges World Series,Romesh Kaluwitharana,Sri Lanka,"Western Australia Cricket Association Ground, Perth",West Indies,field first,Perth,East Perth,Australia,1996-01-14
England,South Africa,272,276,8,3,away,home,South Africa,7.0,wickets,Day,England tour of South Africa,Gary Kirsten,South Africa,Centurion Park,England,bat first,Centurion,Centurion,South Africa,1996-01-14
Australia,Sri Lanka,242,246,4,7,home,away,Sri Lanka,3.0,wickets,Day and night,Benson & Hedges World Series,Romesh Kaluwitharana,Sri Lanka,Melbourne Cricket Ground,Australia,bat first,Melbourne,Jolimont,Australia,1996-01-16
England,South Africa,184,185,10,5,away,home,South Africa,5.0,wickets,Day and night,England tour of South Africa,Allan Donald,South Africa,"Kingsmead, Durban",South Africa,field first,Durban,Durban,South Africa,1996-01-17
South Africa,England,129,115,10,10,home,away,South Africa,14.0,runs,Day and night,England tour of South Africa,Paul Adams,South Africa,"Buffalo Park, East London",South Africa,bat first,East London,East London,South Africa,1996-01-19
South Africa,England,218,154,9,10,home,away,South Africa,64.0,runs,Day,England tour of South Africa,Adrian Kuiper,South Africa,"Crusaders Ground, St George's Park, Port Elizabeth",South Africa,bat first,Port Elizabeth,Port Elizabeth,South Africa,1996-01-21
New Zealand,Zimbabwe,278,204,5,10,home,away,New Zealand,74.0,runs,Day,Zimbabwe tour of New Zealand,Nathan Astle,New Zealand,"Eden Park, Auckland",New Zealand,bat first,Auckland,Auckland,New Zealand,1996-01-28
Zimbabwe,New Zealand,181,184,9,4,away,home,New Zealand,6.0,wickets,Day,Zimbabwe tour of New Zealand,Stephen Fleming,New Zealand,"Basin Reserve, Wellington",Zimbabwe,bat first,Wellington,Wellington,New Zealand,1996-01-31
Zimbabwe,New Zealand,267,246,7,10,away,home,Zimbabwe,21.0,runs,Day and night,Zimbabwe tour of New Zealand,Andy Flower,Zimbabwe,"McLean Park, Napier",New Zealand,field first,Napier,Napier,New Zealand,1996-02-03
